Timestamp,ECG,GSR,Gas,Pulse_IR,Temp_Max,Label
14966,4095,65540,198,98491,35.00,-8.71,-4.00
14988,4095,66820,189,98579,35.00,-8.77,-4.08
15537,4095,67716,187,98677,36.28,-8.70,-3.95
15572,0,83732,147,97640,35.00,-8.63,-4.05
15594,840,85908,167,97802,35.00,-8.70,-4.08
15616,0,86612,149,97973,35.00,-8.73,-3.98
15638,0,87380,156,98104,35.00,-8.68,-4.06
15660,0,86612,152,98214,35.00,-8.71,-4.03
15682,0,83220,151,98301,35.00,-8.71,-3.95
15704,0,80100,149,98396,35.00,-8.70,-4.03
15726,0,80100,145,98487,35.00,-8.72,-4.04
15748,893,81380,173,98559,35.00,-8.70,-3.99
15770,3257,82452,199,98645,35.00,-8.66,-4.01
15792,2841,83220,201,98737,35.00,-8.63,-3.96
15833,4095,83220,223,98947,35.00,-8.64,-3.99
15855,4095,82452,223,99044,35.00,-8.67,-3.98
15877,4095,83220,217,99125,35.00,-8.69,-3.99
15899,4095,84116,212,99202,35.00,-8.78,-4.08
15921,4095,84628,209,99275,35.00,-8.81,-3.98
15943,4095,84628,207,99338,35.00,-8.66,-3.95
15965,4095,84628,201,99421,35.00,-8.72,-4.11
15987,4095,85396,190,99493,35.00,-8.62,-4.11
16553,4095,85908,196,99559,36.59,-8.70,-3.95
16595,629,84628,188,99124,35.00,-8.71,-4.11
16617,1399,84116,173,99222,35.00,-8.70,-3.99
16639,0,84116,153,99317,35.00,-8.67,-4.01
16661,700,84628,169,99391,35.00,-8.74,-4.03
16683,443,84116,146,99466,35.00,-8.65,-4.05
16705,0,83732,143,99531,35.00,-8.77,-4.04
16727,0,83732,154,99607,35.00,-8.66,-4.05
16749,0,84116,159,99683,35.00,-8.55,-4.01
16771,0,83732,151,99762,35.00,-8.41,-3.94
16793,91,84116,167,99856,35.00,-8.72,-4.02
16835,2068,84116,201,99833,35.00,-8.64,-4.10
16857,4067,85396,207,99564,35.00,-8.59,-4.13
16879,4095,85908,205,99258,35.00,-8.60,-4.18
16901,4095,86100,199,98953,35.00,-8.66,-4.03
16923,4095,86100,183,98676,35.00,-8.70,-4.01
16945,4095,85908,187,98430,35.00,-8.71,-3.98
16967,428,85908,121,98202,35.00,-8.73,-3.98
16989,335,85908,166,97988,35.00,-8.82,-3.95
17570,199,85908,175,97804,36.29,-8.82,-3.93
17601,1002,85908,171,99438,35.00,-8.78,-4.04
17623,887,86100,154,99152,35.00,-8.70,-4.12
17645,1625,85908,173,98869,35.00,-8.70,-4.02
17667,2189,85908,171,98608,35.00,-8.62,-4.03
17689,1502,85396,165,98378,35.00,-8.73,-4.07
17711,631,84628,159,98177,35.00,-8.74,-3.99
17733,1599,84628,203,98000,35.00,-8.65,-4.19
17755,1917,85396,192,97845,35.00,-8.75,-4.02
17777,2251,85396,204,97731,35.00,-8.63,-4.09
17818,1850,85908,190,97776,35.00,-8.73,-4.13
17840,1979,85396,185,97909,35.00,-8.65,-4.07
17862,2133,83220,185,98062,35.00,-8.63,-4.03
17884,1253,83220,155,98215,35.00,-8.68,-4.09
17906,2067,83220,171,98330,35.00,-8.66,-4.05
17928,1379,83220,152,98428,35.00,-8.68,-4.05
17950,581,83732,156,98529,35.00,-8.68,-4.10
17972,1031,83732,182,98617,35.00,-8.73,-4.11
17994,1511,83732,200,98706,35.00,-8.66,-4.05
18586,0,83732,159,98794,36.40,-8.63,-4.05
18620,0,83220,151,98461,35.00,-8.85,-4.12
18642,1775,83220,171,98536,35.00,-8.81,-4.03
18664,1567,82452,159,98598,35.00,-8.78,-3.94
18686,4095,82452,207,98657,35.00,-8.72,-3.96
18708,1567,82452,147,98714,35.00,-8.74,-3.94
18730,1259,81380,167,98773,35.00,-8.67,-3.96
18752,1617,80612,184,98851,35.00,-8.68,-3.98
18774,3039,81380,213,98918,35.00,-8.70,-4.02
18796,3347,81380,201,98987,35.00,-8.73,-4.00
18818,4095,81380,207,99059,35.00,-8.64,-3.95
18840,2438,80612,171,99140,35.00,-8.66,-4.03
18881,0,81380,122,99335,35.00,-8.79,-4.00
18903,715,81940,159,99419,35.00,-8.77,-3.98
18925,931,82452,133,99478,35.00,-8.78,-3.96
18947,4095,82452,227,99547,35.00,-8.61,-3.82
18969,1646,82452,169,99613,35.00,-8.73,-3.96
18991,521,82452,169,99685,35.00,-8.77,-3.97
19353,572,82452,179,99759,36.88,-8.61,-3.91
19382,1745,81892,199,98632,35.00,-8.79,-4.05
19404,0,81892,125,98712,35.00,-8.61,-4.01
19426,1427,81892,166,98774,35.00,-8.65,-3.98
19448,1414,81892,185,98846,35.00,-8.59,-3.98
19470,2186,81892,189,98915,35.00,-8.76,-4.09
19492,2229,81940,203,98981,35.00,-8.67,-3.99
19514,2171,81940,179,99049,35.00,-8.66,-4.08
19536,2203,81940,179,99122,35.00,-8.69,-4.06
19558,1877,81940,173,99196,35.00,-8.67,-4.00
19580,1257,81892,167,99266,35.00,-8.68,-4.06
19602,1995,81380,175,99344,35.00,-8.66,-4.00
19643,589,81380,147,99542,35.00,-8.71,-4.05
19665,1967,80100,190,99614,35.00,-8.68,-3.96
19687,2893,80100,203,99686,35.00,-8.58,-4.04
19709,3020,80100,207,99750,35.00,-8.78,-4.22
19731,1677,79716,185,99818,35.00,-8.63,-3.99
19753,0,79716,156,99889,35.00,-8.40,-4.01
19775,1699,79204,181,99957,35.00,-8.72,-4.07
19797,573,78436,145,100034,35.00,-8.70,-4.00
19819,1933,78436,175,100090,35.00,-8.73,-4.11
19841,1779,78436,157,100066,35.00,-8.68,-4.06
19884,1440,77924,153,99418,35.00,-8.68,-4.07
19906,1775,77924,183,99215,35.00,-8.60,-4.06
19928,1203,77732,160,99021,35.00,-8.63,-4.12
19950,3417,77732,216,98853,35.00,-8.59,-4.07
19972,2713,77732,200,98706,35.00,-8.76,-4.03
19994,1959,77220,167,98591,35.00,-8.69,-4.02
20365,1955,77732,169,98520,36.09,-8.66,-3.95
20405,1837,77732,176,99634,35.00,-8.73,-3.93
20427,1397,77732,174,99718,35.00,-8.80,-3.93
20449,1195,77732,173,99787,35.00,-8.76,-3.99
20471,1513,77732,185,99850,35.00,-8.78,-4.01
20493,1955,77732,181,99925,35.00,-8.74,-4.06
20515,2525,77732,179,99992,35.00,-8.53,-4.07
20537,1277,77732,149,100064,35.00,-8.57,-4.01
20559,631,77732,145,100147,35.00,-8.69,-4.02
20581,1352,77732,172,100202,35.00,-8.79,-4.05
20603,1959,77732,185,100163,35.00,-8.82,-4.01
20645,1499,77732,169,99545,35.00,-8.66,-4.05
20667,0,77732,135,99336,35.00,-8.74,-3.99
20689,1769,77924,189,99151,35.00,-8.77,-4.03
20711,392,77924,159,98979,35.00,-8.73,-4.01
20733,1211,77924,173,98837,35.00,-8.63,-3.95
20755,107,77924,149,98732,35.00,-8.67,-3.99
20777,87,77924,148,98646,35.00,-8.67,-4.01
20799,1743,77924,163,98615,35.00,-8.72,-4.03
20821,2117,77924,183,98624,35.00,-8.67,-4.10
20843,2136,77924,181,98684,35.00,-8.65,-4.03
20865,4095,77924,247,98772,35.00,-8.70,-4.00
20906,1069,77732,165,99033,35.00,-8.76,-4.07
20928,628,77732,181,99087,35.00,-8.68,-3.98
20950,854,77732,188,99149,35.00,-8.64,-3.97
20972,4095,77732,245,99214,35.00,-8.67,-4.04
20994,3236,77924,184,99268,35.00,-8.72,-4.06
21382,4079,77924,215,99327,36.19,-8.67,-4.08
21410,2195,77732,173,99753,35.00,-8.53,-4.12
21432,749,77732,147,99541,35.00,-8.59,-4.04
21454,693,77220,157,99344,35.00,-8.72,-4.02
21476,702,76452,166,99175,35.00,-8.71,-4.02
21498,0,75940,135,99026,35.00,-8.68,-3.95
21520,2774,75556,189,98924,35.00,-8.66,-3.98
21542,2985,75556,175,98853,35.00,-8.72,-3.94
21564,1295,73156,156,98809,35.00,-8.70,-3.86
21586,2509,69508,190,98827,35.00,-8.66,-3.94
21628,4095,67716,219,99043,35.00,-8.74,-3.90
21650,2906,67716,179,99112,35.00,-8.74,-3.99
