Timestamp,ECG,GSR,Gas,Pulse_IR,Temp_Max,Label
945119,2525,0,205,136048,35.00,-6.25,-6.55
945141,2438,0,215,136064,35.00,-6.24,-6.55
945163,1783,0,211,136137,35.00,-6.22,-6.52
945185,617,0,189,136141,35.00,-6.26,-6.56
945207,727,0,199,136112,35.00,-6.24,-6.56
945229,520,0,157,136043,35.00,-6.23,-6.59
945271,1033,0,169,136022,35.00,-6.19,-6.59
945293,1723,0,167,136019,35.00,-6.23,-6.57
945315,2485,0,187,136007,35.00,-6.24,-6.57
945337,3259,0,201,135990,35.00,-6.26,-6.55
945359,3828,0,217,135855,35.00,-6.23,-6.56
945381,3189,0,211,135743,35.00,-6.24,-6.56
945403,2349,0,199,135699,35.00,-6.23,-6.57
945425,1544,0,171,135655,35.00,-6.24,-6.56
945447,729,0,155,135483,35.00,-6.27,-6.53
945469,617,0,152,135471,35.00,-6.25,-6.58
945512,941,0,163,135803,35.00,-6.26,-6.54
945534,1981,0,184,135672,35.00,-6.26,-6.57
945556,2798,0,196,135724,35.00,-6.24,-6.56
945578,3143,0,207,135671,35.00,-6.23,-6.55
945600,3245,0,215,135690,35.00,-6.23,-6.56
945622,2540,0,217,135761,35.00,-6.21,-6.59
945644,1637,0,179,135893,35.00,-6.25,-6.57
945666,1337,0,171,135944,35.00,-6.27,-6.55
945688,1917,0,147,135983,35.00,-6.21,-6.58
945710,2091,0,123,135956,35.00,-6.24,-6.55
945752,1919,0,137,135797,35.00,-6.23,-6.53
945774,1789,0,157,135711,35.00,-6.22,-6.56
945796,2104,0,187,135543,35.00,-6.24,-6.53
945818,2707,0,219,135630,35.00,-6.24,-6.55
945840,0,0,220,135604,35.00,-6.27,-6.57
945862,2523,0,237,135513,35.00,-6.26,-6.53
945884,2074,0,175,135544,35.00,-6.21,-6.55
945906,675,0,159,135655,35.00,-6.21,-6.57
945928,0,0,163,135652,35.00,-6.20,-6.62
945950,1148,0,159,135716,35.00,-6.25,-6.59
945993,1379,0,157,135820,35.00,-6.24,-6.56
946576,3007,0,183,135805,34.27,-6.24,-6.57
946614,2693,0,205,135319,35.00,-6.22,-6.63
946636,1943,0,181,135428,35.00,-6.19,-6.52
946658,2763,0,212,135402,35.00,-6.24,-6.57
946680,2878,0,213,135367,35.00,-6.29,-6.60
946702,1821,0,188,135394,35.00,-6.23,-6.57
946724,1271,0,174,135435,35.00,-6.25,-6.55
946746,767,0,149,135388,35.00,-6.22,-6.59
946768,979,0,151,135398,35.00,-6.20,-6.59
946790,1596,0,157,135373,35.00,-6.22,-6.59
946812,2129,0,179,135334,35.00,-6.22,-6.50
946855,2835,0,191,135261,35.00,-6.23,-6.55
946877,3390,0,213,135327,35.00,-6.23,-6.56
946899,3188,0,211,135446,35.00,-6.27,-6.58
946921,2394,0,197,135470,35.00,-6.25,-6.53
946943,1273,0,157,135508,35.00,-6.25,-6.59
946965,682,0,141,135513,35.00,-6.19,-6.68
946987,297,0,141,135603,35.00,-6.36,-6.63
947591,221,0,155,135720,33.90,-6.31,-6.62
947622,3099,0,206,135403,35.00,-6.25,-6.53
947644,1208,0,159,135464,35.00,-6.25,-6.60
947666,997,0,165,135494,35.00,-6.24,-6.55
947688,1447,0,169,135554,35.00,-6.27,-6.57
947710,1747,0,173,135602,35.00,-6.23,-6.54
947732,2183,0,197,135658,35.00,-6.24,-6.59
947754,2284,0,218,135707,35.00,-6.23,-6.59
947797,2123,0,199,135773,35.00,-6.23,-6.58
947819,1583,0,173,135693,35.00,-6.25,-6.56
947841,1201,0,172,135693,35.00,-6.24,-6.55
947863,1003,0,159,135723,35.00,-6.24,-6.57
947885,1149,0,163,135670,35.00,-6.21,-6.56
947907,1555,0,172,135594,35.00,-6.27,-6.56
947929,2103,0,187,135458,35.00,-6.26,-6.55
947951,2471,0,198,135370,35.00,-6.23,-6.49
947973,2467,0,210,135358,35.00,-6.22,-6.54
947995,2343,0,189,135403,35.00,-6.26,-6.57
948037,2131,0,192,135421,35.00,-6.27,-6.58
948059,1755,0,169,135399,35.00,-6.22,-6.53
948081,1339,0,170,135480,35.00,-6.23,-6.56
948103,1132,0,180,135489,35.00,-6.25,-6.55
948125,1255,0,165,135410,35.00,-6.24,-6.55
948147,1637,0,169,135310,35.00,-6.24,-6.55
948169,2035,0,184,135323,35.00,-6.24,-6.59
948191,2247,0,184,135365,35.00,-6.23,-6.60
948213,2287,0,188,135389,35.00,-6.27,-6.49
948235,2167,0,185,135394,35.00,-6.25,-6.56
948278,1839,0,182,135395,35.00,-6.24,-6.56
948300,1529,0,175,135404,35.00,-6.23,-6.60
948322,1237,0,160,135423,35.00,-6.24,-6.56
948344,1142,0,164,135412,35.00,-6.26,-6.56
948366,1449,0,167,135429,35.00,-6.21,-6.57
948388,1897,0,184,135450,35.00,-6.24,-6.56
948410,2317,0,187,135393,35.00,-6.22,-6.61
948432,2451,0,191,135420,35.00,-6.22,-6.54
948454,2357,0,189,135478,35.00,-6.24,-6.55
948476,2274,0,180,135411,35.00,-6.23,-6.54
948518,2009,0,182,135474,35.00,-6.22,-6.54
948540,1471,0,169,135449,35.00,-6.22,-6.54
948562,1307,0,171,135508,35.00,-6.24,-6.58
948584,1337,0,167,135730,35.00,-6.22,-6.55
948606,1541,0,173,135558,35.00,-6.23,-6.58
948628,1853,0,181,135540,35.00,-6.23,-6.55
948650,2183,0,185,135596,35.00,-6.25,-6.58
948672,2163,0,189,135525,35.00,-6.26,-6.55
948694,2311,0,183,135512,35.00,-6.24,-6.60
948716,2134,0,181,135274,35.00,-6.24,-6.55
948759,1831,0,172,135231,35.00,-6.24,-6.56
948781,1374,0,169,135225,35.00,-6.27,-6.61
948803,1523,0,157,135233,35.00,-6.23,-6.57
948825,1647,0,171,135166,35.00,-6.28,-6.56
948847,2122,0,175,135132,35.00,-6.22,-6.57
948869,2303,0,179,135046,35.00,-6.26,-6.58
948891,2426,0,185,135073,35.00,-6.25,-6.60
948913,2328,0,186,135183,35.00,-6.26,-6.57
948935,2197,0,183,135257,35.00,-6.24,-6.59
948957,1874,0,179,135274,35.00,-6.21,-6.56
948999,1481,0,175,135271,35.00,-6.23,-6.53
949021,1207,0,169,135211,35.00,-6.26,-6.56
949043,1375,0,167,135335,35.00,-6.24,-6.58
949065,1613,0,171,135521,35.00,-6.27,-6.55
